triplet,outgroup,C1,C2,mixprop1,mixprop2,lambda2Dist,lambda1Dist,BIC2Dist,BIC1Dist,count
NHKG_16_01_R_196_PET0662_PET0424,PET0424,0.0,3.082968334732779,0.9138734547800437,0.08612654521995625,0.0011350946944783723,0.0015048573252408478,-11334.518233912077,-11409.097666614649,1038
NHKG_16_01_R_196_PET0662_PET0495,NHKG_16_01_R_196,0.0,3.5382055609126057,0.9446435043735956,0.055356495626404455,0.0014546695807782463,0.0018829622360429445,-13675.858258195287,-13749.789701197986,1304
NHKG_16_01_R_196_PET0662_PET0495,PET0662,0.0,4.13408851910687,0.9575028494216502,0.04249715057834982,0.0011863618491312752,0.001491353664955357,-9825.226384748117,-9863.665419698991,896
NHKG_16_01_R_196_PET0662_PET0495,PET0495,0.0,3.32351425742122,0.9446744577270241,0.05532554227297589,0.0012139051881577888,0.0015550031796545106,-11324.375467500457,-11384.773805734922,1042
NHKG_16_01_R_196_PET0662_PAR_posas_01,NHKG_16_01_R_196,0.0,3.5225000918377987,0.9136221377112852,0.08637786228871476,0.0011330077774157727,0.0015667781768292682,-9777.407153300608,-9840.751313600751,902
NHKG_16_01_R_196_PET0662_PAR_posas_01,PET0662,0.0,4.65862898754993,0.9721768878110635,0.027823112188936346,0.0012057860832043335,0.001444540464184852,-8600.86004758525,-8624.605941246036,779
NHKG_16_01_R_196_PET0662_PAR_posas_01,PAR_posas_01,0.0,3.7329587695704545,0.9284249887360695,0.07157501126393051,0.001605945945309711,0.002145981190775144,-15972.065290205614,-16052.709441615996,1561
NHKG_16_01_R_196_PET0662_ARG0295,NHKG_16_01_R_196,0.0,4.096823674614303,0.9551440064519794,0.044855993548020584,0.0011244430724575167,0.0014220450554809842,-9887.672149031872,-9926.723057393678,894
NHKG_16_01_R_196_PET0662_ARG0295,PET0662,0.0,4.242363542720484,0.9490880666916158,0.05091193330838418,0.000978482149914492,0.0012595702397058823,-8453.725611868354,-8486.151701936029,748
NHKG_16_01_R_196_PET0662_ARG0295,ARG0295,0.0,4.079344542021862,0.9479773221261175,0.052022677873882525,0.0016424277554842766,0.0021139873383125003,-16438.17985680655,-16501.996260283446,1600
NHKG_16_01_R_196_DEB_1135_PET0424,NHKG_16_01_R_196,0.0,3.438402267642102,0.9189464914264194,0.08105350857358073,0.0015561675404749205,0.0021053957777227724,-14507.092318927456,-14594.421945359458,1414
NHKG_16_01_R_196_DEB_1135_PET0424,DEB_1135,0.0,4.004660433074828,0.9084424300401863,0.09155756995981372,0.0013205012231061212,0.0018658484531404959,-12720.566359868179,-12780.276959482106,1210
NHKG_16_01_R_196_DEB_1135_PET0424,PET0424,0.0,4.757576093023374,0.9324766484528919,0.06752335154710802,0.000950250697330841,0.001286597379935275,-6969.463047699171,-6984.085746515112,618
