P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
H_arizonensis	H_laciniatus	H_agrestis	0.0769659	0.564498	0.286208	0.00975408	218.182	42.2365	36.1996
H_arizonensis	H_longifolius	H_agrestis	0.044499	0.469156	0.319479	0.0101349	58.7649	82.0137	75.0256
H_arizonensis	H_maximiliani	H_agrestis	0.0142152	0.15156	0.439767	0.00266346	140.82	76.245	74.1077
H_arizonensis	H_microcephalus	H_agrestis	0.01853	0.216754	0.4142	0.00407635	130.662	88.2411	85.0304
H_arizonensis	H_mollis	H_agrestis	0.197853	2.48133	0.00654461	0.0402454	104.85	93.4663	62.5901
H_agrestis	H_arizonensis	H_niveus	0.146327	1.40977	0.0793036	0.0357286	117.226	87.9849	65.5226
H_arizonensis	H_nuttalli	H_agrestis	0.0698552	0.391684	0.347646	0.0139573	30.4167	20.931	18.1976
H_occidentalis	H_arizonensis	H_agrestis	0.038014	0.401268	0.344112	0.00836336	90.4476	77.5298	71.8512
H_agrestis	H_arizonensis	H_petiolaris	0.1536	1.68405	0.0460857	0.0634414	92.0345	105.578	77.4631
H_arizonensis	H_agrestis	H_porteri	0.0749247	0.623652	0.266428	0.0187097	129.813	63.8401	54.9405
H_agrestis	H_arizonensis	H_praecox	0.202484	2.37528	0.00876775	0.0921685	95.3104	116.014	76.9431
H_radula	H_arizonensis	H_agrestis	0.0525936	0.635547	0.262536	0.0124054	66.375	93.0718	83.771
H_salicifolius	H_arizonensis	H_agrestis	0.0454457	0.397345	0.345557	0.00830981	125.065	63.7821	58.2369
H_arizonensis	H_silphioides	H_agrestis	0.199704	1.98566	0.0235356	0.0445718	94.2575	90.7619	60.5452
H_verticillatus	H_arizonensis	H_agrestis	0.0321529	0.315966	0.376014	0.00646234	124.605	70.8841	66.4679
H_carnosus	H_atrorubens	H_agrestis	0.0427545	0.375557	0.353623	0.00763332	127.262	57.7409	53.006
H_cusickii	H_atrorubens	H_agrestis	0.119789	1.37929	0.0839024	0.027823	101.811	107.462	84.4705
H_atrorubens	H_agrestis	H_debilis	0.0257225	0.26133	0.396919	0.00858525	122.588	93.3617	88.6791
H_divaricatus	H_atrorubens	H_agrestis	0.0768216	0.761591	0.223152	0.0173682	97.0798	83.2714	71.3901
H_atrorubens	H_agrestis	H_exilis	0.0329255	0.297501	0.383042	0.00608073	97.2222	62.046	58.0905
H_atrorubens	H_floridanus	H_agrestis	0.180777	2.00533	0.0224637	0.0374071	137.538	93.3238	64.748
H_giganteus	H_atrorubens	H_agrestis	0.175626	2.01726	0.0218344	0.0395103	94.1444	100.596	70.5401
H_gracilentus	H_atrorubens	H_agrestis	0.190158	2.00279	0.0225998	0.0463388	68.1071	105.926	72.0774
H_grosseserratus	H_atrorubens	H_agrestis	0.218213	2.28389	0.0111891	0.0457383	107.776	95.8738	61.527
H_heterophyllus	H_atrorubens	H_agrestis	0.0188938	0.197774	0.421611	0.00405687	152.301	84.4081	81.2777
