-1,-0.0322581,-1,0.2,-0.636364,-0.135734,1,-0.509434,-0.532468,-1,0.310345,-0.0808824,-0.290323,0.454545,-0.1,-0.809783,0.333333,-0.166667,-0.6,1,1,0.555556,-0.333333,0.78022,0.6,-1,1,0.935065,0.59292,0.142857,0.0212766,-0.681818,0.22293,-1,0.894737,1,-0.138567,1,1,1	-1,-0.454545,-1,-0.644269,0,-0.40393,0.636364,-0.61194,0.911504,-1,0.652174,-0.0384615,-0.333333,0.454545,-0.2,1,-0.578947,0.428571,-0.6,-0.312869,0.0163934,0.257485,1,0.218045,0.142857,-1,-0.0181818,1,0.121495,0.0666667,1,-0.768595,0.6,-1,0.68,-0.234375,-0.506186,0.70894,-0.666667,-0.921569	0.92,0.428571,0.421687,0.747899,-0.636364,0.283753,1,0.148936,-0.972145,0.225806,-0.428571,-0.0425532,0.047619,0,0.102041,-1,0.764706,-0.555556,0,1,1,0.347826,-1,0.677419,0.5,-0.0588235,1,-1,0.508021,0.0769231,-1,0.18232,-0.435294,0.605263,0.548387,1,0.395349,1,1,1
0.666667,0,-1,0,-0.2,-0.576471,-1,-0.555556,-0.352727,-0.428571,-1,0.548544,0.230769,-1,0.198664,1,-0.454545,-0.142857,0.333333,0.553903,-0.428571,0.882353,1,-1,-0.201717,0.333333,-1,0.513514,-0.44186,-0.376623,-1,1,1,-0.232877,0.50838,0.411765,-0.4	-0.705882,1,-1,-0.538462,-0.555556,-0.846809,-1,-0.529412,1,-1,1,-1,0.502945,0.454545,-1,0.56087,-0.481481,0.5,-0.142857,-1,-0.777778,-0.171457,0.333333,0.745455,0,-1,0.512195,-0.130435,-1,0.647059,-0.673469,-0.333333,-1,0.305263,-0.181818,-0.830239,0.384615,0,-0.842105	0.933333,-1,0.448276,0.538462,0.4,0.528169,0.333333,-0.037037,-1,1,-1,-0.574468,0.0629723,-0.25,0.241379,-0.407625,1,-0.777778,0,1,0.882353,0.662447,-0.666667,0.4,1,0.435897,-0.647059,0.444444,0.333333,-0.2,0.32973,-0.049505,0.454545,1,1,0.740541,0.153846,0.411765,0.666667
0.428571,1,-1,-0.333333,-0.5,0.26,-1,0.0181818,-0.166355,-1,0.483871,0.011236,0.84252,0.4,0.0909091,0.489089,0.333333,-1,-0.333333,-0.741007,1,0.928571,0.333333,0.36,1,0.588235,1,0.44,0.2,-0.153846,-0.368421,0.471264,0.8,1,0.372197,1,0.72973,-0.684211	-0.863014,1,-1,-0.636364,0,-0.316491,-1,0.806452,0.95614,-1,0.84,-0.333333,0.692586,0.555556,0.384615,0.7737,-0.428571,-0.6,-0.791218,-0.185185,-0.247387,0.846154,0.416667,-0.0909091,-1,-0.0181818,1,0.148936,0.2,1,-0.791304,0.777778,-1,0.363636,-0.176471,-0.718319,0.796954,0.52381,-0.921569	0.942857,0.619048,0.384615,-0.5,0.53266,0.4,-0.8,-0.968454,0.225806,-0.6,0.343284,0.36,-0.2,-0.304348,-0.457875,0.666667,-1,0.333333,0.121369,1,0.956284,-0.714286,-0.0666667,1,1,0.6,0.311475,0,-1,0.596899,-0.483871,1,0.615385,1,0.860465,1,0.333333,0.642458
0.916667,0.0126582,-1,0.272727,-0.259259,-0.1877,1,-0.2,0.411263,0.428571,0.388587,-0.470199,0.725395,0.326923,0.664921,-0.727209,0.333333,0.428571,1,-0.026648,0.307692,0.55443,0.0769231,0.714286,0.894737,-1,0.367521,0.814346,0.6625,0,0.6,-0.452381,0.652582,1,-0.518072,0.466667,-0.226559,0.205734,0.411765,1	-0.390728,0.28,-1,0.25,-0.268293,-0.198483,-0.678571,1,0.864713,0.304348,0.619651,-0.2,0.726444,0.649402,0.73297,0.289474,0.0909091,1,-0.0769231,-0.357594,0.511111,0.289464,0.75,0.153025,0.714286,0.0041841,0.14514,-0.0952381,0,0.142857,-0.662427,0.76,0.078516,-0.487179,-0.25,-0.459759,0.516437,0.0909091,-0.4	0.962617,-0.268293,0.529412,0.0243902,0.00970874,0.0112,1,-1,-0.703704,0.142857,-0.304348,-0.298246,-0.00221729,-0.409396,-0.132743,-0.839881,0.25,-1,1,0.33413,-0.241379,0.315619,-0.714286,0.630137,0.5,-1,0.363897,0.758904,0.712766,0,0.5,0.299923,-0.213115,1,-0.0413223,0.641791,0.260316,-0.347639,0.333333,1
0.666667,1,-1,-0.333333,-1,-0.224742,-1,-0.5,-0.29505,-1,0.272727,0.5,0.735683,0.333333,0.586207,-0.253731,1,0,1,-1,0.555556,0.142857,0.724409,0.333333,-1,1,0.802956,0.767442,0.333333,0.217391,-0.685185,-1,1,0.333333,0.818182,1,0.896907,-0.428571,1	-0.705882,-0.196172,-1,-0.583333,-1,0.0217391,-1,-0.714286,0.945355,-1,1,0.2,1,1,0.179487,0.528384,-0.230769,1,-0.230769,-1,-1,-0.44,0.142857,0.417476,0,-1,-0.876289,0.564103,0.461538,0.333333,0.806452,-0.642105,-1,-0.375,-0.25,-0.119497,-0.570827,0.769231,-0.666667,-0.75	0.933333,1,0.384615,0.310345,-0.416667,-0.245283,0.5,0.333333,-0.96988,0.142857,-1,0.333333,-1,-1,0.454545,-0.689655,1,-1,1,0.0600707,1,0.8,0,0.44,0.333333,-0.125,1,0.43662,0.473684,0,-0.714286,-0.0769231,-0.435294,1,0.538462,0.854167,1,0.411765,0.333333,1
1,-0.0322581,-1,0.2,-0.692308,0.212121,-0.333333,-0.191489,0.626298,0,0.428571,-0.0647482,0.671053,0.333333,1,0.502747,1,0.818182,1,-1,0.612903,0.826087,-1,-0.0588235,1,0.272727,-0.0666667,0.5,0.217391,0.2,0.454545,-0.5,1,1,0.111111,0.75,0.146341,-0.202899,-0.111111,1	-0.428571,1,-1,-0.333333,-0.764706,1,-0.375,0.151515,0.773585,1,1,0.238095,1,1,-0.714286,0.565093,-0.2,0.666667,-0.6,-1,-0.146758,-0.272727,-1,6.93889e-18,0,-0.391304,-0.478261,-0.230769,-0.532033,0.125,0.454545,-0.591549,1,0.313869,-0.333333,0.315436,0.0358127,0.641791,0,-0.884615	1,-1,0.619048,0.5,0.153846,-1,0.047619,-0.333333,-0.285714,-1,-1,-0.298246,-1,-1,1,-0.0870871,1,0.333333,1,-0.177143,0.69697,0.896774,-0.75,-0.0588235,1,0.6,0.42515,0.655172,0.671733,0.0769231,0,0.13,1,0.428571,0.569231,0.111111,-0.747368,-0.111111,1
0.428571,0.578947,0.428571,-0.404959,-0.811321,-0.238671,1,-0.175844,-0.250526,-0.8,0.18894,-0.299492,0.766798,0.851852,0.369058,0.0429448,0.243243,-0.555556,-0.6,-0.48507,1,0.711268,0.454545,0.802985,0.851852,-1,1,0.934102,0.851852,0,0.4,-0.583039,0.480851,0.333333,0.664336,0.555556,1,1,0.464286,-0.627119	-0.863014,1,-0.0532544,-0.25,-0.545455,-0.512976,-0.43038,0.0357143,0.79798,-0.896552,0.686275,-0.00719424,0.581368,0.724138,0.740659,0.624204,-0.508021,1,-0.6,-0.74366,-0.277372,0.2,0.811321,0.550706,0.428571,-1,-0.555556,0.681346,-0.00398406,-0.345455,1,-0.698595,0.757576,-0.620253,0.314502,-0.16,-0.692347,0.782214,0.344262,-0.914063	0.942857,-1,0.471074,-0.172414,-0.476923,0.312575,1,-0.210238,-0.873817,0.341463,-0.571429,-0.292929,0.334586,0.333333,-0.511387,-0.59727,0.668639,-1,0,0.404505,1,0.596059,-0.565217,0.452282,0.666667,0.12,1,0.695238,0.852941,0.345455,-1,0.194969,-0.435294,0.79021,0.442231,0.657143,1,1,0.142857,0.672355
-1,-0.0634921,0.666667,0.407407,-0.828571,-0.1133,0.6,-0.297297,-0.557957,-0.0434783,0.510204,-0.0797546,0.23159,0.411765,0.483146,0.419782,0.238095,0.230769,-0.333333,-0.284116,0.674419,0.574891,0.407407,0.741935,-0.428571,-0.5625,1,0.9616,0.95614,0.448276,-0.193277,-0.909502,0.361702,0.2,0.586207,1,0.574899,0.659574,0.695431,1	-1,0.559471,0.363636,0.107872,-0.428571,-0.413544,-0.111111,-0.628571,0.836735,-0.73494,0.85,-0.158879,0.548993,1,0.466667,0.652765,-0.422222,0.714286,-0.333333,-0.642115,0.220339,0.199243,0.407407,0.19469,-0.647059,-0.333333,-0.205298,0.942948,0.0931373,0.272727,1,-0.940653,0.518987,-0.338235,0.164557,0.293634,-0.646203,0.902439,0.163763,-0.909091	0.933333,-0.601594,0.4,0.313305,-0.620253,0.315003,0.666667,0.407407,-0.9508,0.714286,-0.6,0.0801394,-0.363636,-1,0.0212766,-0.320922,0.6,-0.578947,0,0.437885,0.533333,0.424242,-2.08167e-17,0.63964,0.302326,-0.282051,1,0.2,0.947368,0.2,-1,0.215613,-0.193634,0.504132,0.466667,1,0.890339,-0.6,0.6,1
0.746032,-0.142857,0.555556,0.515152,-0.684211,0.548117,-0.411765,-0.287834,0.333333,-0.0569106,0.255061,0.389121,0.894737,0.554502,0.171942,1,-6.05576e-17,1,-0.21608,1,0.778647,0.615385,0.69697,1,-0.745455,-0.5,0.917808,0.24,0.857143,0.454545,-0.589744,0.682243,1,0.631068,0.73913,0.246862,0.232092,0.0909091,1	-0.616725,1,0.806452,0.260504,-0.571429,-0.17358,-0.565217,0.882353,0.411765,0.870968,0.44186,0.765957,0.777778,0.656566,0.764327,0.111111,0.571429,-0.142857,-0.596452,0.111111,0.734416,0.68,0.721311,-0.0566038,-0.125,-0.6,0.978799,-0.2,0.268293,0.6,-0.640449,0.764706,0.493506,0.513514,0.19403,0.92465,0.954545,-0.13253,-0.75	0.933333,-1,-0.454545,0.294118,-0.185185,0.658999,0.2,-0.933185,-0.0909091,-0.884058,-0.210526,-0.536842,0.384615,-0.160494,-0.682016,1,-0.571429,1,0.436648,1,0.103306,-0.111111,-0.048951,1,-0.684211,0.142857,-0.6,0.419847,0.764706,-0.2,0.0814815,-0.172414,1,0.173913,0.636364,-0.878261,-0.928058,0.220779,1
0.538462,0.411765,-0.904762,-1,-0.684211,-0.446494,1,-0.714286,-0.673239,1,0.25,-1,-0.6,0.285714,0.272727,0.345638,1,-1,0.333333,0.393939,1,0.301754,-0.6,0.68254,0.333333,-1,-0.835294,0.607843,0.722222,-1,1,-0.54902,0.681592,1,1,0.407407,-0.0852713,0.780822,-0.176471,1	-0.793814,-0.111111,-0.949367,-1,-0.555556,-0.746622,0.139241,-0.894737,0.29368,-0.846154,0.37931,-1,1,0.2,0.0243902,0.710021,-0.538462,-1,-0.0588235,-0.64469,-0.571429,-0.172798,0,0.379182,0,-1,-0.882353,0.194175,-0.484765,-1,-0.5,-0.611814,0.707071,-0.583333,-0.555556,-0.572347,-0.753653,0.857143,-0.348837,-0.767677	0.933333,0.5,0.316239,0.538462,-0.207547,0.45021,1,0.5,-0.807302,1,-0.142857,-0.378882,-1,0.0909091,0.25,-0.48289,1,-0.269231,0.384615,0.828274,1,0.451034,-0.6,0.409283,0.333333,0.0243902,0.178947,0.469027,0.893993,0.333333,1,0.0945559,-0.0491803,1,1,0.794495,0.714286,-0.230769,0.183673,1
