P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
H_agrestis	H_annuus	H_grosseserratus	0.044983	0.559391	0.287947	0.0215637	74.9099	118.933	108.693
H_agrestis	H_heterophyllus	H_annuus	0.00269236	0.0310781	0.487604	0.000966646	154.663	92.3885	91.8923
H_annuus	H_agrestis	H_laciniatus	0.0328956	0.334316	0.369071	0.0121821	71.5198	100.122	93.7448
H_longifolius	H_agrestis	H_annuus	0.0280556	0.259283	0.397709	0.0093357	124.974	75.4536	71.3353
H_agrestis	H_annuus	H_maximiliani	0.127914	1.73249	0.0415934	0.0732926	80.908	152.249	117.716
H_agrestis	H_annuus	H_microcephalus	0.0128445	0.167054	0.433664	0.0089065	78.6377	129.906	126.611
H_annuus	H_agrestis	H_mollis	0.142906	1.94446	0.0259198	0.0781722	67.9496	135.75	101.802
H_niveus	H_annuus	H_agrestis	0.022123	0.222498	0.411963	0.00380558	182.467	76.5996	73.2837
H_annuus	H_nuttalli	H_agrestis	0.0778943	0.496818	0.309659	0.0169643	33.3452	26.2206	22.431
H_occidentalis	H_agrestis	H_annuus	0.0367562	0.364268	0.357829	0.0136178	117.558	86.0516	79.95
H_annuus	H_petiolaris	H_agrestis	0.15542	1.56806	0.0584333	0.0280779	226.894	90.9329	66.4694
H_agrestis	H_annuus	H_porteri	0.00173106	0.0157289	0.493725	0.000523674	122.1	76.8131	76.5476
H_annuus	H_praecox	H_agrestis	0.168273	1.88017	0.0300426	0.0314658	221.508	98.4325	70.0769
H_radula	H_agrestis	H_annuus	0.0543369	0.522492	0.300664	0.0182239	125.258	89.1377	79.95
H_agrestis	H_annuus	H_salicifolius	0.00818042	0.0883571	0.464796	0.0037308	70.9929	112.239	110.418
H_agrestis	H_silphioides	H_annuus	0.14508	1.3881	0.0825532	0.0520029	145.734	95.1892	71.0685
H_agrestis	H_annuus	H_verticillatus	0.0340377	0.40097	0.344221	0.0176021	69.6714	119.287	111.433
H_agrestis	H_arizonensis	H_argophyllus	0.0724413	0.662871	0.253707	0.0198369	105.2	77.5726	67.0929
H_atrorubens	H_agrestis	H_argophyllus	0.0723976	0.661358	0.254191	0.0173407	132.338	74.6274	64.5512
H_agrestis	H_carnosus	H_argophyllus	0.0234574	0.185053	0.426594	0.00584371	104.235	63.5238	60.6119
H_argophyllus	H_agrestis	H_cusickii	0.026668	0.302062	0.381302	0.0133434	72.8102	111.178	105.403
H_argophyllus	H_debilis	H_agrestis	0.177973	1.69321	0.0452081	0.0306241	168.036	82.5336	57.5946
H_argophyllus	H_agrestis	H_divaricatus	0.13798	1.63905	0.0506018	0.0688065	58.1821	120.751	91.469
H_argophyllus	H_exilis	H_agrestis	0.227196	1.83206	0.0334709	0.0368639	187.285	68.0619	42.8607
H_agrestis	H_floridanus	H_argophyllus	0.100901	0.916226	0.179774	0.024323	157.367	83.9194	68.5365
H_giganteus	H_agrestis	H_argophyllus	0.0139833	0.138082	0.445088	0.00363647	116.384	82.3407	80.0696
H_argophyllus	H_agrestis	H_gracilentus	0.027817	0.262265	0.396558	0.0121474	69.1274	93.3921	88.3369
H_argophyllus	H_agrestis	H_grosseserratus	0.0421673	0.537034	0.295622	0.0192629	65.6774	102.494	94.2
H_heterophyllus	H_agrestis	H_argophyllus	0.0257624	0.245231	0.403139	0.00639706	148.623	81.7507	77.6443
H_argophyllus	H_agrestis	H_laciniatus	0.00362132	0.0328126	0.486912	0.00134668	62.0488	90.4012	89.7488
H_agrestis	H_longifolius	H_argophyllus	0.0205653	0.184501	0.42681	0.0055585	125.571	74.4679	71.4667
H_agrestis	H_argophyllus	H_maximiliani	0.0938488	1.08126	0.13979	0.0515992	73.2466	124.862	103.437
H_argophyllus	H_agrestis	H_microcephalus	0.0315361	0.384211	0.350411	0.0209899	72.1462	110.025	103.298
H_argophyllus	H_agrestis	H_mollis	0.125756	1.55254	0.0602665	0.067704	60.7929	121.069	94.0202
H_niveus	H_argophyllus	H_agrestis	0.0318626	0.287431	0.386891	0.0054132	140.794	72.4738	67.998
H_argophyllus	H_nuttalli	H_agrestis	0.00168681	0.00981786	0.496083	0.000416349	31.7786	25.45	25.3643
H_occidentalis	H_agrestis	H_argophyllus	0.059834	0.564879	0.286078	0.0152326	106.626	78.5167	69.6512
H_argophyllus	H_petiolaris	H_agrestis	0.115687	1.19551	0.115945	0.0210834	193.094	82.7282	65.5718
H_agrestis	H_argophyllus	H_porteri	0.0252351	0.245862	0.402894	0.0076929	111.893	77.7482	73.9208
H_argophyllus	H_praecox	H_agrestis	0.125913	1.22483	0.110319	0.0227776	197.117	86.3207	67.0139
H_radula	H_agrestis	H_argophyllus	0.0886101	0.792986	0.213893	0.02239	117.551	84.3353	70.606
H_argophyllus	H_agrestis	H_salicifolius	0.0256724	0.280152	0.38968	0.0103448	59.0964	90.7964	86.2512
H_agrestis	H_silphioides	H_argophyllus	0.00924426	0.0886581	0.464677	0.00229372	130.337	71.9387	70.6208
H_argophyllus	H_agrestis	H_verticillatus	0.0424992	0.480929	0.315283	0.0192256	61.4329	98.2655	90.2536
H_arizonensis	H_agrestis	H_atrorubens	0.053185	0.595522	0.275747	0.0315072	75.9948	102.3	91.9679
H_carnosus	H_agrestis	H_arizonensis	0.0261334	0.215024	0.414874	0.00770058	83.8631	65.4655	62.131
H_cusickii	H_arizonensis	H_agrestis	0.00155679	0.0154821	0.493824	0.00027871	117.693	72.2488	72.0242
H_agrestis	H_debilis	H_arizonensis	0.020094	0.228404	0.409666	0.00721026	74.7538	99.7808	95.8498
H_agrestis	H_arizonensis	H_divaricatus	0.18013	1.94961	0.0256113	0.0874679	58.8548	124.208	86.2905
H_agrestis	H_exilis	H_arizonensis	0.12431	1.27307	0.101497	0.0511291	59.4143	103.113	80.3119
H_arizonensis	H_agrestis	H_floridanus	0.0618643	0.654449	0.256411	0.0348017	59.4187	115.85	102.351
H_arizonensis	H_giganteus	H_agrestis	0.0135255	0.132165	0.447427	0.00303505	122.356	83.5429	81.3131
H_agrestis	H_gracilentus	H_arizonensis	0.0791597	0.841858	0.199934	0.0288185	63.6528	93.6706	79.9286
H_grosseserratus	H_arizonensis	H_agrestis	0.00998665	0.0967469	0.461464	0.00195676	125.806	71.5762	70.1607
H_heterophyllus	H_agrestis	H_arizonensis	0.0517159	0.473654	0.317873	0.0156865	112.881	85.8528	77.4095
H_arizonensis	H_laciniatus	H_agrestis	0.0769659	0.564498	0.286208	0.00975408	218.182	42.2365	36.1996
H_arizonensis	H_longifolius	H_agrestis	0.044499	0.469156	0.319479	0.0101349	58.7649	82.0137	75.0256
H_arizonensis	H_maximiliani	H_agrestis	0.0142152	0.15156	0.439767	0.00266346	140.82	76.245	74.1077
