0.0449426,0.0247004,0.0891449,0.021599,0.105009,-0.00654933,0.092317,0.054539,0.136628,0.344344,0.123344,0.0348291,0.00274005,0.100448,0.0433899,0.0600246,0.137855,0.0658791,0.0423048	0.0746219,-0.00381106,-0.0145365,0.0983467,0.0110882,0.0746919,0.0415253,0.085406,0.0966355,0.0680487,0.370698,0.111311,0.0410392,-0.0189276,0.0423602,0.0249312,0.0559875,0.09266,0.0893271,0.0645578,0.0515097	-0.0325631,0.0246611,0.0549284,-0.0229497,0.0155088,0.0320561,-0.00209131,-0.0402333,0.057442,0.0264089,0.0046374,-0.0265185,-0.00970952,0.072171,-0.021735,0.0742408,0.00726797,-0.000903004,0.0153702,0.00889574
0.0905675,0.107423,0.0167091,0.165482,0.0225345,0.0901609,0.0417578,0.117343,0.120868,0.116562,0.274244,0.25261,0.093071,0.153775,0.00350624,0.112466,0.0180986,0.0756236,0.185374,0.0885428,0.105993,0.106232	0.165471,0.107575,0.010292,0.187484,0.0265076,0.114546,0.0447196,0.113407,0.147138,0.1201,0.251764,0.321807,0.150978,0.165306,0.0463132,0.112805,0.0628119,0.101849,0.0824251,0.193204,0.105262,0.145221	-0.0719411,-0.016774,0.0180262,-0.0317474,-0.0183264,-0.0101415,-0.00231714,-0.0205431,0.00465657,-0.00920928,-0.0238526,-0.0518648,-0.0387463,0.00932281,-0.0412418,-0.0111126,-0.0227144,-0.00699743,-0.0115918,-0.0671081
-0.17976,-0.156524,-0.143299,-0.126037,-0.164919,-0.174306,-0.045913,-0.179372,-0.183508,-0.016115,-0.260969,-0.168579,-0.0865221,-0.205504,-0.0644468,-0.111805,-0.120636,-0.0788847,-0.0870691,-0.112458	0.00056897,0.0548335,0.0020066,0.0276138,-0.0189107,-0.0115507,0.0494061,-0.0451692,0.0581287,-0.0141209,-0.0124982,0.0394145,-0.0169153,0.0709504,-0.0116045,0.0253833,0.0200987,-0.00423834	-0.183427,-0.191295,-0.157104,-0.161766,-0.139447,-0.138728,-0.11911,-0.119369,-0.209889,-0.141104,-0.134236,-0.165908,-0.160582,-0.153518,-0.176876,-0.11384,-0.130191,-0.147166,-0.0978079,-0.0811644,-0.149456
0.142357,0.131661,0.169274,0.101721,0.309652,0.0922685,0.0297071,0.316069,0.148655,0.183224,0.159071,0.213772,0.258541,0.35518,0.42577,0.320012,0.108429,0.263097,0.034125,0.190568,0.00873292,0.0854015,0.160658,0.0853038,0.221372,0.17546,0.178233,0.184624	0.30907,0.286992,0.223822,0.286871,0.354049,0.24285,0.389297,0.238815,0.262758,0.32034,0.274335,0.307569,0.45662,0.469725,0.389671,0.208535,0.403097,0.145781,0.303835,0.15942,0.26263,0.146952,0.357891,0.187418,0.312377,0.311198	-0.151272,-0.143498,-0.130967,-0.0974668,-0.187656,-0.129696,-0.116624,-0.115195,-0.0985335,-0.0873448,-0.068889,-0.0912291,-0.149931,-0.111663,-0.133333,-0.137679,-0.166114,-0.0880289,-0.125197,-0.0409166,-0.129042,-0.137231
0.186473,0.117137,0.135926,0.0637293,0.313944,0.0972755,0.00482272,0.35214,0.123859,0.172677,0.179838,0.194061,0.246464,0.320368,0.507265,0.320129,0.204057,0.0757113,0.257328,0.0138208,0.210883,-0.0122518,0.155732,0.0724603,0.273924,0.169964,0.157655,0.222946	0.341264,0.324922,0.244054,0.343614,0.354885,0.275448,0.41796,0.260653,0.268209,0.337027,0.317123,0.325472,0.497002,0.512383,0.399774,0.223541,0.434492,0.193882,0.332051,0.181964,0.289207,0.199112,0.398405,0.229188,0.354205,0.397212	-0.155493,-0.196743,-0.209519,-0.124627,-0.19733,-0.166014,-0.157583,-0.116808,-0.132303,-0.122944,-0.0765644,-0.117089,-0.177507,-0.13625,-0.205897,-0.15429,-0.183718,-0.130112,-0.171228,-0.0659746,-0.148243,-0.128497
0.230102,0.218249,0.206552,0.267819,0.200122,0.217311,0.269839,0.30801,0.231685,0.241402,0.421584,0.317202,0.217595,0.220456,0.148984,0.300949,0.10417,0.170701,0.343001,0.295289,0.199685	0.284953,0.247545,0.244325,0.250539,0.246923,0.261968,0.295312,0.231588,0.345633,0.354254,0.40062,0.288344,0.224696,0.22172,0.344159,0.186335,0.210361,0.357456,0.298686,0.289294	-0.0493553,-0.0555219,-0.0151753,-0.0105778,-0.0489871,-0.00488157,0.0238634,-0.061857,-0.0542129,-0.00623721,-0.034088,-0.0677018,-0.0447971,-0.0757799,-0.0298918,-0.00760703,-0.0671876
-0.153922,-0.170771,-0.119758,-0.116689,-0.144005,-0.104754,-0.0443014,-0.217561,-0.0780277,-0.168933,-0.131783,-0.0179649,-0.204874,-0.106096,-0.159385,-0.0703439,-0.0267313,-0.0907839	0.0223839,0.0468664,0.0559199,0.0577111,0.000396004,0.0539928,0.0206036,0.065021,0.025579,0.059395,0.0535176,0.0110906,0.0639252,0.0664646,0.0572168,0.0367027	-0.171365,-0.226339,-0.1684,-0.172236,-0.1753,-0.120248,-0.0938043,-0.237002,-0.141292,-0.207144,-0.133292,-0.112615,-0.247077,-0.109061,-0.20247,-0.137259,-0.0981001,-0.141189
0.118507,0.105223,-0.000893622,0.207251,0.0440705,-0.00535946,0.159444,0.149554,0.175227,0.0611217,0.211942,0.278461,0.330951,0.217046,0.0706825,0.0464577,0.0422949,0.151483,-0.0598384,0.147566,0.221899,0.231851,0.140834,0.0947071	0.270536,0.209321,0.240577,0.23594,0.215692,0.237206,0.284277,0.200178,0.315592,0.323475,0.440426,0.274372,0.172273,0.193197,0.268058,0.239243,0.214861,0.342357,0.288754,0.220327	-0.1196,-0.177295,-0.175394,-0.108349,-0.185927,-0.130868,-0.0981158,-0.107026,-0.137093,-0.106061,-0.0787811,-0.114679,-0.0874872,-0.22519,-0.133208,-0.232312,-0.108893,-0.106513,-0.0604281,-0.160385
0.122824,0.0223307,-0.0987302,0.171399,-0.00827256,-0.0764215,0.119698,0.102437,0.135634,0.0296241,0.173248,0.309822,0.238906,0.184984,-0.00378484,-0.0594834,0.0782963,0.0978996,-0.0783447,0.0430846,0.216104,0.156068,0.0552269,0.0864467	0.268001,0.200356,0.238343,0.179772,0.225707,0.152111,0.290543,0.191449,0.297767,0.389591,0.329329,0.202346,0.166609,0.258124,0.230841,0.214731,0.294713,0.246837,0.202447	-0.126941,-0.217293,-0.24871,-0.121905,-0.204485,-0.135703,-0.146205,-0.129232,-0.128669,-0.147573,-0.104818,-0.111475,-0.113613,-0.256516,-0.187158,-0.212788,-0.15681,-0.150642,-0.076494,-0.168972
-0.126617,-0.131798,-0.119627,-0.116688,-0.0904834,-0.0988615,-0.0225711,-0.243242,-0.124425,-0.0643524,-0.14131,-0.0334771,-0.125626,-0.130148,-0.0882909,-0.107187,-0.0360422,0.00654614,-0.0564311	0.00542728,0.0614596,0.0412229,0.0702289,0.0159014,0.035142,0.0505359,-0.0156263,0.0488454,0.0103892,0.0550118,0.0387561,0.0482935,-0.00385707,0.0256602,0.0728195,0.0581628	-0.128445,-0.189822,-0.160882,-0.161325,-0.150818,-0.11298,-0.12388,-0.162578,-0.164182,-0.0774857,-0.209234,-0.114467,-0.109827,-0.180887,-0.0791373,-0.136756,-0.107842,-0.110346,-0.0871254
0.25619,0.189362,0.202505,0.161681,0.259765,0.0268263,0.199129,0.231584,0.257434,0.181708,0.280435,0.265915,0.269195,0.52295,0.226606,0.23382,0.278926,0.13804,0.206634,0.244295,0.140067,0.195051,0.172354,0.343665,0.248093,0.21938,0.283768	0.349207,0.299231,0.290527,0.364038,0.226365,0.232634,0.369134,0.329612,0.324718,0.357899,0.333482,0.379496,0.563052,0.25785,0.249827,0.384243,0.233458,0.360469,0.318568,0.286077,0.349681,0.365019,0.298504,0.275329	-0.0798725,-0.136447,-0.147277,-0.101922,-0.170146,-0.0773225,-0.107201,-0.139419,-0.0868381,-0.0747418,-0.0499128,-0.0856319,-0.0851201,-0.157267,-0.0998712,-0.179722,-0.0757911,-0.107785,-0.0475718,-0.0976477
0.234597,0.129885,0.0823542,0.113391,0.164446,0.00630251,0.131102,0.157025,0.223035,0.109723,0.21802,0.245276,0.3503,0.412028,0.187345,0.0861692,0.265689,-0.0342961,0.235183,0.149451,0.128523,0.0485385,0.325269,0.210888,0.20441,0.170176	0.324482,0.286334,0.287943,0.309602,0.196341,0.250955,0.278959,0.323597,0.296258,0.370684,0.249274,0.532727,0.313028,0.259612,0.345555,0.189127,0.33063,0.285795,0.278383,0.332347,0.36007,0.247819,0.262561	-0.0891816,-0.183475,-0.22398,-0.121124,-0.194224,-0.0955078,-0.14717,-0.158835,-0.124073,-0.0913673,-0.0792659,-0.0771515,-0.126884,-0.195318,-0.118535,-0.183286,-0.121186,-0.154977,-0.0851247,-0.111037,-0.0984699
-0.00572785,0.0444385,0.031661,0.0528323,0.00550277,0.0129054,0.0382934,0.0453159,-0.0223557,0.0763782,0.060712,-0.0104422,0.029533,0.0217696,0.0326716,0.000449504,0.0224692,0.03316,0.0631623,0.0638374,0.0220451	-0.0725901,-0.0215608,-0.020127,-0.0121972,0.00894175,-0.0245796,0.0193056,-0.0541961,-0.110744,0.0674575,-0.139009,-0.0843418,0.0436675,-0.0164084,-0.0452143,0.0217604,0.00277402,0.0369379,-0.0128423,0.0324647	0.0777439,0.0696372,0.0438403,0.0649325,-0.0264541,0.0646498,0.0188005,0.0116557,0.149706,0.0929212,0.0322813,0.146574,0.0358389,0.0503643,0.0447748,0.0324972,-0.0116314,0.0572159,0.0264792,0.0447995,0.0175701
-0.00149373,0.00663581,-0.0303084,0.0354142,-0.0359932,-0.00522116,0.0244824,0.0323367,-0.0520784,0.0255306,0.0663072,-0.0121717,-0.0262791,0.015944,0.0135159,-0.0148999,0.00952069,0.035815,0.0524618,0.0144607,0.0356556	-0.0613147,-0.022369,0.00170041,-0.0187349,-0.0149105,-0.0237691,0.0381088,-0.0701107,-0.0928929,0.0881763,-0.189646,-0.0453807,0.0397588,-0.02618,0.00314731,0.0201025,0.0399529,0.0468838,0.0348256,0.016935	0.0645575,0.0248803,-0.0208874,0.0507824,-0.0517453,0.0500334,-0.0185813,-0.00250416,0.111894,0.0692045,0.0194284,0.14811,0.00752618,0.0182392,-0.0254232,0.0465696,-0.0405072,-0.00475336,-0.0236313,0.0515832,-0.0201171
0.576007,0.562152,0.409374,0.473205,0.378786,0.648529,0.480691,0.447384,0.291838,0.671546,0.479271,0.546272,0.567563,0.515749,0.562246,0.593057,0.461327,0.551937,0.678831,0.597345,0.694674,0.516427,0.341979,0.682985,0.200584,0.460658,0.564688,0.696663,0.39501,0.472752,0.229268,0.540207,0.505296,0.609358,0.516842,0.454581,0.56812	0.581885,0.577033,0.448241,0.54112,0.519158,0.64384,0.45311,0.478606,0.379452,0.664935,0.485225,0.612676,0.553947,0.538926,0.592589,0.562251,0.52491,0.643573,0.683978,0.599264,0.684953,0.450457,0.517564,0.609701,0.34746,0.565087,0.667208,0.574717,0.426095,0.408419,0.396021,0.629398,0.537978,0.602087,0.511385,0.409402	-0.0101883,-0.0575245,-0.104853,-0.0362252,-0.0138072,-0.0396957,-0.0389069,-0.0154711,-0.0456432,-0.0292543,-0.0255241,-0.0263745,-0.0364646,-0.0836023,-0.0287408,-0.0182217,-0.0674142,-0.0256136,-0.0302497,-0.015481
